 GL552VWR20ENG        FABMASTER (R)          licence #5053 NATSTEEL, 

 Test Fixture Nails    2107/2362 Selected Drills           29-Jun-2015 18:02
                       2107 Nails, 2371 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$107       9.620     5.400   3  1A   (T)  #913  M_B_CKE1         V VIA .
$108       9.610     5.501   1  1A   (T)  #903  M_B_ALERT#       V VIA .
$109       9.564     5.580   3  1A   (T)  #888  M_B_A11          V VIA .
$110       9.525     5.520   3  1A   (T)  #901  M_B_A9           V VIA .
$111       9.473     5.517   3  1A   (T)  #889  M_B_A12          V VIA .
$112       9.413     5.615   3  1A   (T)  #898  M_B_A6           V VIA .
$113       9.465     5.615   3  1A   (T)  #900  M_B_A8           V VIA .
$114       9.597     5.669   3  1A   (T)  #894  M_B_A2           V VIA .
$115       9.540     5.685   3  1A   (T)  #897  M_B_A5           V VIA .
$116       9.487     5.710   3  1B   (T)  #895  M_B_A3           V VIA .
$117       9.436     5.710   3  1B   (T)  #886  M_B_A1           V VIA .
$118       9.469     5.775   2  1B   (T)  #909  M_B_CLK_DDR0     V VIA .
$119       9.555     5.770   1  1B   (T)  #911  M_B_CLK_DDR1     V VIA .
$120       9.782     5.677   1  1A   (T)  #187  M_B_DIMM0_EVENT# V VIA .
$121      10.171     5.707   2  1B   (T)  #109  SATA_ODD_DA#     V VIA .
$122      10.139     5.776   2  1B   (T)  #106  SATA_ODD_PWRGT   V VIA .
$123      10.217     5.924   1  1B   (T)  #652  Q5102_D          V VIA .
$124      10.200     6.200   1  1B   (T)  #651  +5VS_ODD         V VIA .
$125      10.073     6.070   1  1B   (T)  #1296 Q5101_GATE       V VIA .
$126      10.069     5.873   1  1B   (T)  #107  SATA_ODD_PWRGT_C V VIA .
$127       9.560     5.860   3  1B   (T)  #887  M_B_A10          V VIA .
$128       9.547     5.910   3  1B   (T)  #904  M_B_BA0          V VIA .
$129       9.559     5.959   3  1B   (T)  #893  M_B_RAS#         V VIA .
$130       9.554     6.012   3  1B   (T)  #892  M_B_CAS#         V VIA .
$131       9.599     6.039   3  1B   (T)  #890  M_B_A13          V VIA .
$132       9.685     6.065   2  1B   (T)  #999  M_B_DIMM0_S2     V PIN T1502.1
$133       9.715     6.132   2  1B   (T)  #1003 M_B_DIMM0_SA2    V VIA .
$134       9.604     6.260   3  1B   (T)  #947  M_B_DQ37         V VIA .
$135       9.550     6.260   3  1B   (T)  #943  M_B_DQ36         V VIA .
$136       9.496     6.260   3  1B   (T)  #986  M_B_DQS#4        V VIA .
$137       9.446     6.260   3  1B   (T)  #987  M_B_DQS4         V VIA .
$138       9.441     6.173   3  1B   (T)  #941  M_B_DQ34         V VIA .
$139       9.495     6.173   3  1B   (T)  #945  M_B_DQ35         V VIA .
$140       9.545     6.173   3  1B   (T)  #944  M_B_DQ38         V VIA .
$141       9.600     6.174   3  1B   (T)  #940  M_B_DQ39         V VIA .
$142       9.520     6.050   3  1B   (T)  #994  M_B_ODT0         V VIA .
$143       9.507     6.100   3  1B   (T)  #998  M_B_CS#1         V VIA .
$144       9.445     6.091   3  1B   (T)  #995  M_B_ODT1         V VIA .
$145       9.369     6.086   2  1B   (T)  #1000 M_B_DIMM0_S3     V PIN T1501.1
$146       9.293     6.086   2  1B   (T)  #791  M_A_DIMM0_SA2    V VIA .
$147       9.206     6.050   1  1B   (T)  #787  M_A_DIMM0_S2     V PIN T1401.1
$148       9.482     5.992   3  1B   (T)  #997  M_B_CS#0         V VIA .
$149       9.473     5.941   3  1B   (T)  #905  M_B_BA1          V VIA .
$150       9.420     5.935   3  1B   (T)  #891  M_B_WE#          V VIA .
$151       9.405     5.861   2  1B   (T)  #996  M_B_PARITY       V VIA .
$152       9.306     5.703   1  1B   (T)  #185  M_A_DIMM0_EVENT# V VIA .
$153       9.160     5.650   1  1A   (T)  #683  M_A_A4           V VIA .
$154       9.118     5.744   3  1B   (T)  #698  M_A_CLK_DDR1     V VIA .
$155       9.115     5.845   2  1B   (T)  #674  M_A_A10          V VIA .
$156       9.129     5.920   3  1B   (T)  #691  M_A_BA0          V VIA .
$157       9.155     6.165   3  1B   (T)  #727  M_A_DQ36         V VIA .
$158       9.101     6.165   3  1B   (T)  #731  M_A_DQ37         V VIA .
$159       9.150     6.240   3  1B   (T)  #734  M_A_DQ38         V VIA .
$160       9.096     6.240   3  1B   (T)  #730  M_A_DQ35         V VIA .
$161       9.015     6.239   3  1B   (T)  #773  M_A_DQS#4        V VIA .
$162       8.965     6.239   3  1B   (T)  #774  M_A_DQS4         V VIA .
$163       8.950     6.165   3  1B   (T)  #728  M_A_DQ32         V VIA .
$164       9.004     6.165   3  1B   (T)  #732  M_A_DQ33         V VIA .
$165       9.031     6.066   2  1B   (T)  #781  M_A_ODT0         V VIA .
$166       8.939     6.103   3  1B   (T)  #782  M_A_ODT1         V VIA .
$167       8.815     6.085   1  1B   (T)  #788  M_A_DIMM0_S3     V PIN T1402.1
$168       8.733     6.047   1  1B   (T)  #785  M_A_CS#0         V VIA .
$169       8.743     5.813   1  1B   (T)  #696  M_A_CLK_DDR0     V VIA .
$170       9.060     6.001   3  1B   (T)  #680  M_A_RAS#         V VIA .
$171       9.074     5.920   3  1B   (T)  #692  M_A_BA1          V VIA .
$172       9.030     5.845   1  1B   (T)  #672  M_A_A0           V VIA .
$173       9.054     5.745   3  1B   (T)  #681  M_A_A2           V VIA .
$174       9.065     5.650   3  1A   (T)  #686  M_A_A7           V VIA .
$175       9.006     5.651   3  1A   (T)  #687  M_A_A8           V VIA .
$176       8.952     5.625   3  1A   (T)  #685  M_A_A6           V VIA .
$177       8.940     5.539   3  1A   (T)  #676  M_A_A12          V VIA .
$178       8.995     5.539   3  1A   (T)  #688  M_A_A9           V VIA .
$179       9.087     5.535   1  1A   (T)  #675  M_A_A11          V VIA .
$180       9.015     5.435   3  1A   (T)  #693  M_A_BG0          V VIA .
$181       8.965     5.435   3  1A   (T)  #694  M_A_BG1          V VIA .
$182       9.130     5.020   3  1A   (T)  #711  M_A_DQ19         V VIA .
$183       9.070     5.020   3  1A   (T)  #716  M_A_DQ18         V VIA .
$184       9.020     5.020   3  1A   (T)  #717  M_A_DQ16         V VIA .
$185       8.965     5.020   3  1A   (T)  #712  M_A_DQ17         V VIA .
$186       8.966     4.946   3  1A   (T)  #770  M_A_DQS2         V VIA .
$187       9.016     4.946   3  1A   (T)  #769  M_A_DQS#2        V VIA .
$188       9.128     4.886   3  1A   (T)  #709  M_A_DQ23         V VIA .
$189       9.072     4.886   3  1A   (T)  #714  M_A_DQ22         V VIA .
$190       9.022     4.885   3  1A   (T)  #715  M_A_DQ21         V VIA .
$191       8.966     4.884   3  1A   (T)  #710  M_A_DQ20         V VIA .
$192       8.964     4.764   3  1A   (T)  #703  M_A_DQ11         V VIA .
$193       9.019     4.764   3  1A   (T)  #708  M_A_DQ14         V VIA .
$194       9.069     4.763   3  1A   (T)  #707  M_A_DQ15         V VIA .
$195       9.129     4.764   3  1A   (T)  #704  M_A_DQ12         V VIA .
$196       9.122     4.713   3  1A   (T)  #768  M_A_DQS1         V VIA .
$197       9.072     4.713   3  1A   (T)  #767  M_A_DQS#1        V VIA .
$198       8.966     4.610   3  1A   (T)  #706  M_A_DQ9          V VIA .
$199       9.022     4.610   3  1A   (T)  #764  M_A_DQ13         V VIA .
$200       9.072     4.610   3  1A   (T)  #763  M_A_DQ8          V VIA .
$201       9.129     4.610   3  1A   (T)  #705  M_A_DQ10         V VIA .
$202       9.069     4.537   3  1A   (T)  #713  M_A_DQ6          V VIA .
$203       9.021     4.515   3  1A   (T)  #724  M_A_DQ2          V VIA .
$204       8.967     4.515   3  1A   (T)  #762  M_A_DQ3          V VIA .
$205       8.972     4.455   3  1A   (T)  #765  M_A_DQS#0        V VIA .
$206       9.023     4.455   3  1A   (T)  #766  M_A_DQS0         V VIA .
$207       9.073     4.455   3  1A   (T)  #701  M_A_DQ1          V VIA .
$208       9.130     4.455   3  1A   (T)  #735  M_A_DQ0          V VIA .
$209       8.995     4.370   3  1A   (T)  #702  M_A_DQ4          V VIA .
$210       8.940     4.370   3  1A   (T)  #746  M_A_DQ5          V VIA .
$211       8.869     4.011   1  1A   (T)  #2355 VGA_ALERT_P#     V VIA .
